run_mode,spark_version,hudi_version,table_version,table_type,table_name,is_cdc,query_type,status,count,error_message
upgrade,3.1.3,0.12.3,6,COPY_ON_WRITE,hudi_trips_cow_table,False,snapshot,SUCCESS,22,
upgrade,3.1.3,0.12.3,6,COPY_ON_WRITE,hudi_trips_cow_table,False,incremental,SUCCESS,9,
upgrade,3.1.3,0.12.3,6,COPY_ON_WRITE,hudi_trips_cow_table,False,timetravel,SUCCESS,20,
upgrade,3.2.4,0.12.3,6,COPY_ON_WRITE,hudi_trips_cow_table,False,snapshot,FAILED,0,"java.lang.IllegalArgumentException: For input string: ""null"""
upgrade,3.2.4,0.12.3,6,COPY_ON_WRITE,hudi_trips_cow_table,False,incremental,FAILED,0,java.lang.NullPointerException
upgrade,3.2.4,0.12.3,6,COPY_ON_WRITE,hudi_trips_cow_table,False,timetravel,FAILED,0,java.lang.NullPointerException
upgrade,3.3.3,0.12.3,6,COPY_ON_WRITE,hudi_trips_cow_table,False,snapshot,FAILED,0,"java.lang.IllegalArgumentException: For input string: ""null"""
upgrade,3.3.3,0.12.3,6,COPY_ON_WRITE,hudi_trips_cow_table,False,incremental,FAILED,0,java.lang.NullPointerException
upgrade,3.3.3,0.12.3,6,COPY_ON_WRITE,hudi_trips_cow_table,False,timetravel,FAILED,0,java.lang.NullPointerException
upgrade,3.4.1,0.15.0,6,COPY_ON_WRITE,hudi_trips_cow_table,False,snapshot,SUCCESS,22,
upgrade,3.4.1,0.15.0,6,COPY_ON_WRITE,hudi_trips_cow_table,False,incremental,SUCCESS,9,
upgrade,3.4.1,0.15.0,6,COPY_ON_WRITE,hudi_trips_cow_table,False,timetravel,SUCCESS,20,
upgrade,3.5.3,0.15.0,6,COPY_ON_WRITE,hudi_trips_cow_table,False,snapshot,SUCCESS,22,
upgrade,3.5.3,0.15.0,6,COPY_ON_WRITE,hudi_trips_cow_table,False,incremental,SUCCESS,9,
upgrade,3.5.3,0.15.0,6,COPY_ON_WRITE,hudi_trips_cow_table,False,timetravel,SUCCESS,20,
