run_mode,spark_version,hudi_version,table_version,table_type,table_name,is_cdc,query_type,status,count,error_message
upgrade,3.1.3,0.12.3,6,COPY_ON_WRITE,cdc_hudi_trips_cow_table_0_12_3_0_15_0,True,snapshot,SUCCESS,22,
upgrade,3.1.3,0.12.3,6,COPY_ON_WRITE,cdc_hudi_trips_cow_table_0_12_3_0_15_0,True,incremental,SUCCESS,9,
upgrade,3.1.3,0.12.3,6,COPY_ON_WRITE,cdc_hudi_trips_cow_table_0_12_3_0_15_0,True,timetravel,SUCCESS,20,
upgrade,3.1.3,0.12.3,6,COPY_ON_WRITE,cdc_hudi_trips_cow_table_0_12_3_0_15_0,True,cdc,SUCCESS,22,
upgrade,3.2.3,0.12.3,6,COPY_ON_WRITE,cdc_hudi_trips_cow_table_0_12_3_0_15_0,True,snapshot,SUCCESS,22,
upgrade,3.2.3,0.12.3,6,COPY_ON_WRITE,cdc_hudi_trips_cow_table_0_12_3_0_15_0,True,incremental,SUCCESS,9,
upgrade,3.2.3,0.12.3,6,COPY_ON_WRITE,cdc_hudi_trips_cow_table_0_12_3_0_15_0,True,timetravel,SUCCESS,20,
upgrade,3.2.3,0.12.3,6,COPY_ON_WRITE,cdc_hudi_trips_cow_table_0_12_3_0_15_0,True,cdc,SUCCESS,22,
upgrade,3.3.1,0.12.3,6,COPY_ON_WRITE,cdc_hudi_trips_cow_table_0_12_3_0_15_0,True,snapshot,SUCCESS,22,
upgrade,3.3.1,0.12.3,6,COPY_ON_WRITE,cdc_hudi_trips_cow_table_0_12_3_0_15_0,True,incremental,SUCCESS,9,
upgrade,3.3.1,0.12.3,6,COPY_ON_WRITE,cdc_hudi_trips_cow_table_0_12_3_0_15_0,True,timetravel,SUCCESS,20,
upgrade,3.3.1,0.12.3,6,COPY_ON_WRITE,cdc_hudi_trips_cow_table_0_12_3_0_15_0,True,cdc,SUCCESS,22,
upgrade,3.4.1,0.15.0,6,COPY_ON_WRITE,cdc_hudi_trips_cow_table_0_12_3_0_15_0,True,snapshot,SUCCESS,22,
upgrade,3.4.1,0.15.0,6,COPY_ON_WRITE,cdc_hudi_trips_cow_table_0_12_3_0_15_0,True,incremental,SUCCESS,9,
upgrade,3.4.1,0.15.0,6,COPY_ON_WRITE,cdc_hudi_trips_cow_table_0_12_3_0_15_0,True,timetravel,SUCCESS,20,
upgrade,3.4.1,0.15.0,6,COPY_ON_WRITE,cdc_hudi_trips_cow_table_0_12_3_0_15_0,True,cdc,FAILED,0,It isn't a CDC hudi table on file:/tmp/cdc_hudi_trips_cow_table_0_12_3_0_15_0
upgrade,3.5.3,0.15.0,6,COPY_ON_WRITE,cdc_hudi_trips_cow_table_0_12_3_0_15_0,True,snapshot,SUCCESS,22,
upgrade,3.5.3,0.15.0,6,COPY_ON_WRITE,cdc_hudi_trips_cow_table_0_12_3_0_15_0,True,incremental,SUCCESS,9,
upgrade,3.5.3,0.15.0,6,COPY_ON_WRITE,cdc_hudi_trips_cow_table_0_12_3_0_15_0,True,timetravel,SUCCESS,20,
upgrade,3.5.3,0.15.0,6,COPY_ON_WRITE,cdc_hudi_trips_cow_table_0_12_3_0_15_0,True,cdc,FAILED,0,It isn't a CDC hudi table on file:/tmp/cdc_hudi_trips_cow_table_0_12_3_0_15_0
